"Region","Year","Age Range","Illicit Drug Use","Measure Type","Variable","Value"
"Eastern Region","2008-2010","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",2.4
"Eastern Region","2008-2010","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.53
"Eastern Region","2010-2012","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.91
"Eastern Region","2010-2012","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.84
"Eastern Region","2010-2012","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",4.29
"Eastern Region","2010-2012","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",1.56
"Eastern Region","2010-2012","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",10.01
"Eastern Region","2010-2012","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.56
"Eastern Region","2010-2012","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",3.43
"Eastern Region","2010-2012","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.23
"Eastern Region","2010-2012","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",5.08
"Eastern Region","2010-2012","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",1.91
"Eastern Region","2010-2012","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",7.11
"Eastern Region","2010-2012","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",2.2
"Eastern Region","2010-2012","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",20.34
"Eastern Region","2010-2012","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error",4.48
"Eastern Region","2010-2012","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",6.69
"Eastern Region","2010-2012","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",2.12
"Eastern Region","2010-2012","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.9
"Eastern Region","2010-2012","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.63
"Eastern Region","2010-2012","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",2.83
"Eastern Region","2010-2012","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.75
"Eastern Region","2010-2012","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",9.09
"Eastern Region","2010-2012","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.02
"Eastern Region","2010-2012","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",3.36
"Eastern Region","2010-2012","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.06
"Eastern Region","2010-2012","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.22
"Eastern Region","2010-2012","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.55
"Eastern Region","2010-2012","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",1.91
"Eastern Region","2010-2012","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.74
"Eastern Region","2010-2012","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",6.66
"Eastern Region","2010-2012","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.91
"Eastern Region","2010-2012","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",2.64
"Eastern Region","2010-2012","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.08
"Eastern Region","2012-2014","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.86
"Eastern Region","2012-2014","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.69
"Eastern Region","2012-2014","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",3.39
"Eastern Region","2012-2014","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",1.15
"Eastern Region","2012-2014","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",9.64
"Eastern Region","2012-2014","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.33
"Eastern Region","2012-2014","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",2.48
"Eastern Region","2012-2014","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.97
"Eastern Region","2012-2014","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",6.7
"Eastern Region","2012-2014","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",2.18
"Eastern Region","2012-2014","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",9.24
"Eastern Region","2012-2014","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",2.58
"Eastern Region","2012-2014","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",24.1
"Eastern Region","2012-2014","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error",4.76
"Eastern Region","2012-2014","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",6.8
"Eastern Region","2012-2014","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",2.09
"Eastern Region","2012-2014","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",2.24
"Eastern Region","2012-2014","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.64
"Eastern Region","2012-2014","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",3.13
"Eastern Region","2012-2014","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.83
"Eastern Region","2012-2014","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",11.22
"Eastern Region","2012-2014","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.3
"Eastern Region","2012-2014","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",3.11
"Eastern Region","2012-2014","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.95
"Eastern Region","2012-2014","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.3
"Eastern Region","2012-2014","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.52
"Eastern Region","2012-2014","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",1.84
"Eastern Region","2012-2014","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.71
"Eastern Region","2012-2014","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",8.5
"Eastern Region","2012-2014","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.3
"Eastern Region","2012-2014","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",2.34
"Eastern Region","2012-2014","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.98
"North Central Region","2004-2006","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",2.9
"North Central Region","2004-2006","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",1.13
"North Central Region","2004-2006","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",5.25
"North Central Region","2004-2006","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",1.68
"North Central Region","2004-2006","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",9.63
"North Central Region","2004-2006","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.27
"North Central Region","2004-2006","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",4.04
"North Central Region","2004-2006","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.38
"North Central Region","2004-2006","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",8.09
"North Central Region","2004-2006","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",2.47
"North Central Region","2004-2006","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",12.19
"North Central Region","2004-2006","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",3.03
"North Central Region","2004-2006","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",26.57
"North Central Region","2004-2006","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error",4.46
"North Central Region","2004-2006","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",8.9
"North Central Region","2004-2006","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",2.57
"North Central Region","2004-2006","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",2.16
"North Central Region","2004-2006","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.67
"North Central Region","2004-2006","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",3.01
"North Central Region","2004-2006","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.82
"North Central Region","2004-2006","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",8.53
"North Central Region","2004-2006","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.76
"North Central Region","2004-2006","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",3.47
"North Central Region","2004-2006","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.1
"North Central Region","2004-2006","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.29
"North Central Region","2004-2006","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.64
"North Central Region","2004-2006","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",1.66
"North Central Region","2004-2006","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.77
"North Central Region","2004-2006","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",5.88
"North Central Region","2004-2006","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.79
"North Central Region","2004-2006","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",2.68
"North Central Region","2004-2006","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.15
"North Central Region","2006-2008","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",2.74
"North Central Region","2006-2008","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.9
"North Central Region","2006-2008","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",4.63
"North Central Region","2006-2008","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",1.26
"North Central Region","2006-2008","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",9.94
"North Central Region","2006-2008","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.14
"North Central Region","2006-2008","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",4.15
"North Central Region","2006-2008","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.12
"North Central Region","2006-2008","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",7.21
"North Central Region","2006-2008","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",2.25
"North Central Region","2006-2008","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",9.95
"North Central Region","2006-2008","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",2.74
"North Central Region","2006-2008","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",25.76
"North Central Region","2006-2008","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error",4.27
"North Central Region","2006-2008","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",7.95
"North Central Region","2006-2008","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",2.14
"North Central Region","2006-2008","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",2.04
"North Central Region","2006-2008","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.67
"North Central Region","2006-2008","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",2.72
"North Central Region","2006-2008","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.81
"North Central Region","2006-2008","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",8.96
"North Central Region","2006-2008","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.74
"North Central Region","2006-2008","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",3.25
"North Central Region","2006-2008","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.92
"North Central Region","2006-2008","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.26
"North Central Region","2006-2008","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.59
"North Central Region","2006-2008","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",1.62
"North Central Region","2006-2008","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.69
"North Central Region","2006-2008","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",6.4
"North Central Region","2006-2008","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.69
"North Central Region","2006-2008","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",2.53
"North Central Region","2006-2008","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.93
"North Central Region","2008-2010","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",2.5
"North Central Region","2008-2010","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",1.05
"North Central Region","2008-2010","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",4
"North Central Region","2008-2010","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",1.26
"North Central Region","2008-2010","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",9.94
"North Central Region","2008-2010","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.08
"North Central Region","2008-2010","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",4.07
"North Central Region","2008-2010","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.11
"North Central Region","2008-2010","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",5.5
"North Central Region","2008-2010","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",1.61
"North Central Region","2008-2010","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",8.16
"North Central Region","2008-2010","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",1.97
"North Central Region","2008-2010","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",24.91
"North Central Region","2008-2010","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error",3.95
"North Central Region","2008-2010","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",7.88
"North Central Region","2008-2010","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",2.02
"North Central Region","2008-2010","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.82
"North Central Region","2008-2010","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.62
"North Central Region","2008-2010","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",2.5
"North Central Region","2008-2010","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.74
"North Central Region","2008-2010","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",8.87
"North Central Region","2008-2010","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.77
"North Central Region","2008-2010","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",3.1
"North Central Region","2008-2010","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.14
"North Central Region","2008-2010","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.25
"North Central Region","2008-2010","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.59
"North Central Region","2008-2010","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",1.63
"North Central Region","2008-2010","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.72
"North Central Region","2008-2010","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",6.37
"North Central Region","2008-2010","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.73
"North Central Region","2008-2010","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",2.36
"North Central Region","2008-2010","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.24
"North Central Region","2010-2012","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",2.05
"North Central Region","2010-2012","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.8
"North Central Region","2010-2012","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",4.27
"North Central Region","2010-2012","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",1.4
"North Central Region","2010-2012","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",9.74
"North Central Region","2010-2012","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.25
"North Central Region","2010-2012","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",3.26
"North Central Region","2010-2012","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.08
"North Central Region","2010-2012","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",5.78
"North Central Region","2010-2012","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",1.87
"North Central Region","2010-2012","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",8.14
"North Central Region","2010-2012","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",2.21
"North Central Region","2010-2012","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",25.99
"North Central Region","2010-2012","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error",4.05
"North Central Region","2010-2012","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",7.8
"North Central Region","2010-2012","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",2.12
"North Central Region","2010-2012","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.95
"North Central Region","2010-2012","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.57
"North Central Region","2010-2012","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",2.73
"North Central Region","2010-2012","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.7
"North Central Region","2010-2012","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",9.76
"North Central Region","2010-2012","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.79
"North Central Region","2010-2012","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",3.23
"North Central Region","2010-2012","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.96
"North Central Region","2010-2012","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.38
"North Central Region","2010-2012","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.55
"North Central Region","2010-2012","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",1.92
"North Central Region","2010-2012","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.73
"North Central Region","2010-2012","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",7.34
"North Central Region","2010-2012","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.82
"North Central Region","2010-2012","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",2.54
"North Central Region","2010-2012","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.98
"North Central Region","2012-2014","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.75
"North Central Region","2012-2014","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.68
"North Central Region","2012-2014","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",3.49
"North Central Region","2012-2014","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",1.08
"North Central Region","2012-2014","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",9.49
"North Central Region","2012-2014","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.16
"North Central Region","2012-2014","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",2.55
"North Central Region","2012-2014","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.96
"North Central Region","2012-2014","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",8.44
"North Central Region","2012-2014","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",2.46
"North Central Region","2012-2014","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",10.48
"North Central Region","2012-2014","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",2.65
"North Central Region","2012-2014","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",25.87
"North Central Region","2012-2014","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error",4.45
"North Central Region","2012-2014","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",7.32
"North Central Region","2012-2014","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",2.14
"North Central Region","2012-2014","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",2.41
"North Central Region","2012-2014","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.65
"North Central Region","2012-2014","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",3.07
"North Central Region","2012-2014","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.76
"North Central Region","2012-2014","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",10.41
"North Central Region","2012-2014","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error",2
"North Central Region","2012-2014","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",3.08
"North Central Region","2012-2014","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.89
"North Central Region","2012-2014","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.48
"North Central Region","2012-2014","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.58
"North Central Region","2012-2014","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",1.93
"North Central Region","2012-2014","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.7
"North Central Region","2012-2014","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",8.04
"North Central Region","2012-2014","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.99
"North Central Region","2012-2014","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",2.43
"North Central Region","2012-2014","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.91
"Northeast","2004-2006","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",2.75
"Northeast","2004-2006","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.24
"Northeast","2004-2006","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",4.93
"Northeast","2004-2006","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.35
"Northeast","2004-2006","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",10.67
"Northeast","2004-2006","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error",0.52
"Northeast","2004-2006","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",4.73
"Northeast","2004-2006","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.33
"Northeast","2004-2006","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",6.08
"Northeast","2004-2006","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.4
"Northeast","2004-2006","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",8.95
"Northeast","2004-2006","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.47
"Northeast","2004-2006","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",23.25
"Northeast","2004-2006","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error",0.77
"Northeast","2004-2006","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",8.82
"Northeast","2004-2006","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.52
"Northeast","2004-2006","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.93
"Northeast","2004-2006","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.16
"Northeast","2004-2006","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",2.67
"Northeast","2004-2006","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.18
"Northeast","2004-2006","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",8.59
"Northeast","2004-2006","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error",0.36
"Northeast","2004-2006","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",3.44
"Northeast","2004-2006","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.24
"Northeast","2004-2006","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.25
"Northeast","2004-2006","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.16
"Northeast","2004-2006","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",1.65
"Northeast","2004-2006","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.19
"Northeast","2004-2006","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",6.21
